Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident
9:57:00,Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,2,Driver,Normal,Unknown or other,Changing lane to the left
9:57:00,Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing
8:00:00,Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overturning
11:45:00,Wednesday,Over 51,Male,Above high school,Employee,1-2yr,Lorry (11?40Q),Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Raining,Collision with roadside objects,1,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
15:45:00,Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Taxi,Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overspeed
12:30:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing
13:10:00,Saturday,Unknown,Female,Elementary school,Owner,2-5yr,Automobile,Owner,7,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right
17:00:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
12:53:00,Sunday,18-30,Unknown,Junior high school,Employee,2-5yr,Public (13?45 seats),Governmental,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
7:25:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian
18:31:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Overtaking,Driver or rider,Female,18-30,3,Student,Normal,Not a Pedestrian,No priority to vehicle
10:44:00,Friday,31-50,Male,High school,Owner,5-10yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
18:19:00,Monday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the left
9:25:00,Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Unknown,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other
16:12:00,Saturday,31-50,Male,Junior high school,Owner,2-5yr,Special vehicle,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Other,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing
18:20:00,Saturday,31-50,Male,Elementary school,Owner,5-10yr,Public (12 seats),Owner,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
21:30:00,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,No defect, Church areas,Unknown,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
17:55:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,No defect,Rural village areasOffice areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,5,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
9:50:00,Tuesday,31-50,Male,High school,Employee,1-2yr,Public (> 45 seats),Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
15:45:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle
8:30:00,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Organization,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,No distancing
13:15:00,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian
16:01:00,Monday,31-50,Male,Junior high school,Owner,Below 1yr,Public (13?45 seats),Owner,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian
17:45:00,Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Governmental,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Moving Backward,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Moving Backward
6:10:00,Friday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,No defect,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right
14:29:00,Saturday,18-30,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle
0:20:00,Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
22:30:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Organization,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking
23:25:00,Thursday,31-50,Male,Unknown,Owner,Above 10yr,Motorcycle,Governmental,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Unknown,Gravel roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Other,Passenger,Male,18-30,3,Student,Normal,Not a Pedestrian,No distancing
9:24:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,2,Self-employed,Normal,Not a Pedestrian,Changing lane to the left
18:11:00,Thursday,31-50,Male,Illiterate,Employee,2-5yr,Stationwagen,Owner,No defect, Industrial areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Other
17:40:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Unknown or other,Changing lane to the right
22:30:00,Sunday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Organization,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Other,Passenger,Male,18-30,3,Employee,Normal,Not a Pedestrian,No priority to vehicle
18:30:00,Sunday,Over 51,Female,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking
17:22:00,Saturday,Over 51,Male,Above high school,Employee,2-5yr,Taxi,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,2,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs
9:17:00,Tuesday,31-50,Male,High school,Employee,Above 10yr,Stationwagen,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Overspeed
10:02:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other
9:30:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Moving Backward
18:05:00,Wednesday,Over 51,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
11:50:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,18-30,3,Other,Normal,Not a Pedestrian,Changing lane to the left
15:30:00,Monday,Over 51,Male,High school,Employee,2-5yr,Public (> 45 seats),Owner,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Other
16:45:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Turnover
8:30:00,Sunday,Under 18,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly
18:30:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
17:34:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward
11:50:00,Friday,Unknown,Male,Elementary school,Employee,Above 10yr,Other,Owner,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Female,5,3,Driver,Normal,Not a Pedestrian,No distancing
8:05:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overturning
13:00:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
3:55:00,Monday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
10:29:00,Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle
7:10:00,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Ridden horse,Owner,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
8:45:00,Friday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Governmental,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
17:05:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly
19:30:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
17:45:00,Tuesday,Unknown,Female,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
10:21:00,Monday,31-50,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left
14:29:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
15:56:00,Friday,31-50,Male,Elementary school,Employee,Above 10yr,Public (> 45 seats),Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing
12:55:00,Monday,18-30,Female,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing
17:10:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,No defect,Other,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Unknown,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
8:42:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,2,Going straight,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly
17:25:00,Thursday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,No defect, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
0:25:00,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Other,Owner,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
8:10:00,Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,7,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Entering a junction,Driver or rider,Male,Under 18,3,Other,Normal,Not a Pedestrian,No priority to pedestrian
16:15:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,No defect, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing
17:28:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect,Office areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
20:17:00,Thursday,31-50,Unknown,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly
11:44:00,Wednesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward
20:15:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward
18:05:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
18:04:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward
18:20:00,Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right
21:33:00,Saturday,Under 18,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
16:30:00,Tuesday,18-30,Male,High school,Employee,5-10yr,Other,Owner,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
16:20:00,Sunday,31-50,Unknown,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Passenger,Female,Under 18,3,Other,Normal,Not a Pedestrian,Changing lane to the right
22:05:00,Friday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing
18:50:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle
10:12:00,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward
12:25:00,Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Other,Passenger,Male,5,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
12:43:00,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
9:59:00,Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
12:30:00,Monday,18-30,Male,Junior high school,Owner,5-10yr,Ridden horse,Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
12:26:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian
